iter	Passed	Remaining
0	2	247
1	4	219
2	6	206
3	7	188
4	9	185
5	11	179
6	13	173
7	14	169
8	16	167
9	18	167
10	20	165
11	22	161
12	23	158
13	25	155
14	26	152
15	28	151
16	30	149
17	32	146
18	33	144
19	35	142
20	37	140
21	38	138
22	40	136
23	42	134
24	44	132
25	45	130
26	48	131
27	50	129
28	52	127
29	53	125
30	55	123
31	57	121
32	58	119
33	60	117
34	62	115
35	63	113
36	65	111
37	67	109
38	68	107
39	70	105
40	72	104
41	73	101
42	75	99
43	76	97
44	78	95
45	80	94
46	81	92
47	83	90
48	85	88
49	86	86
50	88	85
51	90	83
52	91	81
53	93	79
54	94	77
55	96	75
56	97	73
57	99	71
58	100	70
59	102	68
60	104	66
61	105	64
62	107	63
63	109	61
64	110	59
65	112	57
66	114	56
67	116	54
68	118	53
69	121	51
70	123	50
71	124	48
72	126	46
73	128	44
74	129	43
75	131	41
76	132	39
77	134	37
78	136	36
79	137	34
80	139	32
81	141	31
82	143	29
83	144	27
84	146	25
85	148	24
86	149	22
87	151	20
88	153	18
89	154	17
90	156	15
91	158	13
92	159	12
93	161	10
94	163	8
95	164	6
96	166	5
97	168	3
98	169	1
99	171	0
